dataset,dataset_requested,profile,seed_start,seed_stride,n_runs,n_train,n_test,n_features,n_classes,n_estimators,max_depth,max_features,num_bins,confidence_scale,exact_train_time_sec_mean,exact_train_time_sec_std,mab_train_time_sec_mean,mab_train_time_sec_std,time_speedup_exact_over_mab,time_speedup_exact_over_mab_std,runtime_reduction_pct,runtime_reduction_pct_std,exact_insertions_mean,exact_insertions_std,mab_insertions_mean,mab_insertions_std,insertion_reduction_pct,insertion_reduction_pct_std,exact_test_accuracy_mean,exact_test_accuracy_std,mab_test_accuracy_mean,mab_test_accuracy_std,accuracy_gap_mab_minus_exact,accuracy_gap_mab_minus_exact_std,note
mnist,mnist,quick,0,1,5,6000,2000,784,10,6,10,sqrt,48,0.15,3.066033708374016,0.08387717837466183,3.0520919331815093,0.08052207986242223,1.0051866485217087,0.036176757341407954,0.3861653735558801,3.6088628133267857,9575832.0,18391.31568974879,8757144.8,58315.52796777202,8.549715904068327,0.5506544080172753,0.8717,0.004433959855479036,0.87,0.005813776741499422,-0.0016999999999999904,0.0061286213784177875,
covtype,covtype,quick,0,1,5,6000,2000,54,7,4,10,sqrt,48,0.15,0.1928555998019874,0.04128381989099135,0.18356106642168016,0.0219607700782633,1.0611101703353722,0.25252752468186584,-0.15688517253315465,25.76575789898213,1572538.8,26959.71846588907,1358409.8,43587.96540055523,13.576872922042112,3.4807464298219566,0.6991999999999999,0.019617849015628592,0.6941,0.015183543723386837,-0.005099999999999949,0.017281203661782374,
aps_failure,aps_failure,quick,0,1,5,5000,1500,170,2,6,10,all,48,0.15,1.3003216249868275,0.11963082812063995,1.2034338749945164,0.07962367246505132,1.0795677439390508,0.0521679472278096,7.158793973011986,4.380982482539226,46709642.0,1961295.7470142029,45081951.8,1687927.2919141275,3.46534663798848,0.5408558289802587,0.9857333333333334,0.0024440403706431457,0.9863999999999999,0.0026195843605851545,0.0006666666666666598,0.0020221001184137803,
