dataset,dataset_requested,profile,seed_start,seed_stride,n_runs,n_train,n_test,n_features,n_classes,n_estimators,max_depth,max_features,num_bins,confidence_scale,exact_train_time_sec_mean,exact_train_time_sec_std,mab_train_time_sec_mean,mab_train_time_sec_std,time_speedup_exact_over_mab,time_speedup_exact_over_mab_std,runtime_reduction_pct,runtime_reduction_pct_std,exact_insertions_mean,exact_insertions_std,mab_insertions_mean,mab_insertions_std,insertion_reduction_pct,insertion_reduction_pct_std,exact_test_accuracy_mean,exact_test_accuracy_std,mab_test_accuracy_mean,mab_test_accuracy_std,accuracy_gap_mab_minus_exact,accuracy_gap_mab_minus_exact_std,note
iris,iris,quick,0,1,5,112,30,4,3,6,10,all,32,0.15,0.005925133614800871,0.001318945865037369,0.0057434500195086,0.000940949148305055,1.0299010285287833,0.16029360037291757,0.6756401618541831,14.458572031015345,6247.2,406.51809307827864,6247.2,406.51809307827864,0.0,0.0,0.96,0.02494438257849294,0.96,0.02494438257849294,0.0,0.0,
wine,wine,quick,0,1,5,130,45,13,3,6,10,all,32,0.15,0.01852517502848059,0.0016863634409016192,0.018355500185862184,0.001384319618144542,1.0088663974184855,0.04125418006224794,0.7121233204987945,4.078793643810299,28438.8,1073.2238163589177,28438.8,1073.2238163589177,0.0,0.0,0.8977777777777778,0.051830683509736,0.8977777777777778,0.051830683509736,0.0,0.0,
breast_cancer,breast_cancer,quick,0,1,5,400,143,30,2,6,10,all,32,0.15,0.07629541680216789,0.004344917448877709,0.07641677500214428,0.004476602104710916,0.9986304883280668,0.01535335609223612,-0.16088994133763856,1.545067801090757,285048.0,22629.082526695598,285048.0,22629.082526695598,0.0,0.0,0.9496503496503497,0.011188811188811165,0.9496503496503497,0.011188811188811165,0.0,0.0,
digits,digits,quick,0,1,5,1300,400,64,10,6,10,all,48,0.15,1.3399212001822889,0.05751436236815626,1.3289766418049112,0.056660702312755044,1.0082367885800296,0.006115701378882225,0.8133087463650446,0.6002684809444617,3584691.2,48623.700848043234,3581913.6,47903.77726067121,0.07715976808840841,0.10580036875358981,0.913,0.006782329983125274,0.9165,0.006442049363362563,0.0034999999999999697,0.007176350047203689,
mnist,mnist,balanced,0,1,5,12000,2000,784,10,12,12,sqrt,64,0.15,14.789865216775798,0.17226524642900992,14.77064874181524,0.0705578839445061,1.0012958084997028,0.010176668159983667,0.11911154021908787,1.013639665078316,44496620.0,114116.8338011531,39461375.2,55534.06813623507,11.315697403683835,0.14263690823296304,0.9219,0.005765414122159816,0.9259000000000001,0.004140048308896913,0.003999999999999981,0.007765307463326879,
covtype,covtype,custom,0,1,5,500000,80000,54,7,6,10,sqrt,48,0.15,3.7628254666225986,0.052993842879741786,3.4009698000038044,0.4474450842790509,1.1222992619793999,0.12152685117670436,9.724120081809803,10.867782203430119,199100853.0,2498584.32710389,26768915.4,4208735.738188826,86.55906326233412,2.079459757527984,0.7226899999999999,0.0051733294405054185,0.71655,0.010522475944377347,-0.0061399999999999675,0.013020691225891206,
kddcup99_10p,kddcup99_10p,custom,0,1,5,400000,80000,41,23,6,10,sqrt,48,0.15,1.5266434834105893,0.07607344478290021,1.3975516754202544,0.10568248991070142,1.0952552673202791,0.05055153888904606,8.49439215018241,4.3935111808834755,90129350.4,6150149.408976455,11093690.2,1327417.8129722986,87.71729937457235,0.8580464418811192,0.9984999999999999,0.0002514955267991592,0.99738,0.0013357254583184182,-0.0011199999999999654,0.0012298018133016515,
kddcup99_full,kddcup99_full,custom,0,1,5,900000,100000,41,23,6,10,sqrt,48,0.15,4.381600766815245,0.33971877608995027,3.4384112501982598,0.48807893374213634,1.2910134457584919,0.1485343875020219,21.57903545113457,8.420735303361434,210985456.8,6886285.5460021235,22147530.0,5138072.023882694,89.52724933849933,2.3723965850129933,0.9991260000000001,0.00014164744967701492,0.99866,0.0002896204412675143,-0.00046600000000003307,0.00025663982543632787,
